timestamp,timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
04-01-2015,12.00.00 AM,182,3,2,93,6,3,0,1,3
04-01-2015,1.00.00 AM,138,3,2.5,93,5,1,0,1,3
04-01-2015,2.00.00 AM,134,2.5,2.5,96.5,0,1,0,1,3
04-01-2015,3.00.00 AM,72,2,2,100,0,1,0,1,3
04-01-2015,4.00.00 AM,47,2,0,93,6.5,1,0,1,3
04-01-2015,5.00.00 AM,46,2,2,93,4,1,0,1,3
04-01-2015,6.00.00 AM,51,1,-1,100,7,4,0,1,3
04-01-2015,7.00.00 AM,75,1,-1,100,7,4,0,1,3
04-01-2015,8.00.00 AM,131,1.5,-1,96.5,8,4,0,1,3
04-01-2015,9.00.00 AM,301,2,-0.5,100,9,3,0,1,3
04-01-2015,10.00.00 AM,528,3,-0.5,93,12,3,0,1,3
04-01-2015,11.00.00 AM,727,2,-1.5,100,12,3,0,1,3
04-01-2015,12.00.00 PM,862,2,-1.5,96.5,13,4,0,1,3
04-01-2015,1.00.00 PM,916,3,-0.5,87,15,3,0,1,3
04-01-2015,2.00.00 PM,1039,2.5,0,90,8,3,0,1,3
04-01-2015,3.00.00 PM,869,2,-1.5,93,11,3,0,1,3
04-01-2015,4.00.00 PM,737,3,0,93,12,3,0,1,3
04-01-2015,5.00.00 PM,594,3,0,93,11,3,0,1,3
04-01-2015,6.00.00 PM,522,3,1.5,93,6.5,3,0,1,3
04-01-2015,7.00.00 PM,379,3,1,93,7,3,0,1,3
04-01-2015,8.00.00 PM,328,3,3,93,4,3,0,1,3
04-01-2015,9.00.00 PM,221,3,2.5,93,5,4,0,1,3
04-01-2015,10.00.00 PM,178,3,2,93,6,4,0,1,3
04-01-2015,11.00.00 PM,157,4,3.5,87,5,4,0,1,3
05-01-2015,12.00.00 AM,83,4,3,93,6,4,0,0,3
05-01-2015,1.00.00 AM,67,4,3.5,93,5,4,0,0,3
05-01-2015,2.00.00 AM,32,5,4,87,6,4,0,0,3
05-01-2015,3.00.00 AM,22,6,4.5,84,7.5,4,0,0,3
05-01-2015,4.00.00 AM,38,6.5,5,84,8,4,0,0,3
05-01-2015,5.00.00 AM,81,6,5.5,87,5,4,0,0,3
05-01-2015,6.00.00 AM,444,7,6.5,81,5,3,0,0,3
05-01-2015,7.00.00 AM,1597,7,6,81,6.5,3,0,0,3
05-01-2015,8.00.00 AM,3161,8,7.5,79,5,3,0,0,3
05-01-2015,9.00.00 AM,1342,8,7,82,6,3,0,0,3
05-01-2015,10.00.00 AM,568,9,8,84.5,6.5,3,0,0,3
05-01-2015,11.00.00 AM,584,9,7.5,90.5,10,3,0,0,3
05-01-2015,12.00.00 PM,762,10,8,85,11,3,0,0,3
05-01-2015,1.00.00 PM,873,10,8.5,82,10,3,0,0,3
05-01-2015,2.00.00 PM,672,10,9,82,9,3,0,0,3
05-01-2015,3.00.00 PM,807,10,8.5,79,10,3,0,0,3
05-01-2015,4.00.00 PM,1192,10,8.5,73.5,13,3,0,0,3
05-01-2015,5.00.00 PM,2761,9.5,7.5,73.5,12,3,0,0,3
05-01-2015,6.00.00 PM,2389,9.5,7.5,69,14,3,0,0,3
05-01-2015,7.00.00 PM,1274,9,6.5,71,14,3,0,0,3
05-01-2015,8.00.00 PM,696,9,7,71,14,3,0,0,3
05-01-2015,9.00.00 PM,411,9,7,71,11,3,0,0,3
05-01-2015,10.00.00 PM,324,9,7.5,71,10,4,0,0,3
05-01-2015,11.00.00 PM,192,8.5,7.5,73.5,8,4,0,0,3
06-01-2015,12.00.00 AM,91,8,6.5,76,8,4,0,0,3
06-01-2015,1.00.00 AM,73,8,6.5,76,8,4,0,0,3
06-01-2015,2.00.00 AM,33,8,6,76,11,4,0,0,3
06-01-2015,3.00.00 AM,19,8,5.5,76,14,4,0,0,3
06-01-2015,4.00.00 AM,40,8.5,6.5,73.5,11,4,0,0,3
06-01-2015,5.00.00 AM,74,8,5.5,82,14,4,0,0,3
06-01-2015,6.00.00 AM,530,8,5,84.5,15,3,0,0,3
06-01-2015,7.00.00 AM,1715,9,7,82,13,3,0,0,3
06-01-2015,8.00.00 AM,3534,9,7,82,12,7,0,0,3
06-01-2015,9.00.00 AM,1573,9,6.5,87,16,7,0,0,3
06-01-2015,10.00.00 AM,635,10,7.5,88,19.5,3,0,0,3
06-01-2015,11.00.00 AM,550,10,8,88,18,3,0,0,3
06-01-2015,12.00.00 PM,395,11,11,85,19,7,0,0,3
06-01-2015,1.00.00 PM,426,9.5,6,84.5,27.5,3,0,0,3
06-01-2015,2.00.00 PM,579,9,6,71,26,3,0,0,3
06-01-2015,3.00.00 PM,718,8,4.5,71,23,2,0,0,3
06-01-2015,4.00.00 PM,1184,8,5,68.5,19.5,2,0,0,3
06-01-2015,5.00.00 PM,2662,7.5,4,71,22,1,0,0,3
06-01-2015,6.00.00 PM,2610,7,4,71,17.5,1,0,0,3
06-01-2015,7.00.00 PM,1402,6,3,76,15,1,0,0,3
06-01-2015,8.00.00 PM,720,5.5,2.5,78.5,15,1,0,0,3
06-01-2015,9.00.00 PM,494,5,2,81,15,1,0,0,3
06-01-2015,10.00.00 PM,344,4.5,1.5,81,13,1,0,0,3
06-01-2015,11.00.00 PM,212,4,1,84,12,1,0,0,3
07-01-2015,12.00.00 AM,102,4,1,81,12,1,0,0,3
07-01-2015,1.00.00 AM,60,4,1,81,11,1,0,0,3
07-01-2015,2.00.00 AM,33,4,1.5,81,10,1,0,0,3
07-01-2015,3.00.00 AM,26,3.5,1,84,9,2,0,0,3
07-01-2015,4.00.00 AM,33,4,1.5,81,10,2,0,0,3
07-01-2015,5.00.00 AM,80,4,2,87,9,1,0,0,3
07-01-2015,6.00.00 AM,526,5,2.5,81,10,1,0,0,3
07-01-2015,7.00.00 AM,1757,5.5,2.5,81,13,1,0,0,3
07-01-2015,8.00.00 AM,3618,6.5,3.5,81,15,2,0,0,3
07-01-2015,9.00.00 AM,1714,8,5,76,19,3,0,0,3
07-01-2015,10.00.00 AM,763,8,5,82,19.5,2,0,0,3
07-01-2015,11.00.00 AM,690,9,6,76,21,2,0,0,3
07-01-2015,12.00.00 PM,913,9,5.5,76,27,2,0,0,3
